taxonID	vernacularName	language	countryCode	locality	source
6848864	Gray-hooded Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848864	Gray-hooded Gull	English			2005. website, AOU Check-List (07-2005).
6848850	Black-tailed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848850	Black-tailed Gull	English			2005. website, AOU Check-List (07-2005).
6848849	Ring-billed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848849	Ring-billed Gull	English			2005. website, AOU Check-List (07-2005).
6848849	Ring-billed Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848849	Ring-billed Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848849	goéland à bec cerclé	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848849	goéland à bec cerclé	French			2005. website, AOU Check-List (07-2005).
6848849	goéland à bec cerclé	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848849	goéland à bec cerclé	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848849	Gaviota pico anillado	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848849	Gaviota pico anillado	Spanish			2005. website, AOU Check-List (07-2005).
6848849	Gaviota pico anillado	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848849	Gaviota pico anillado	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848865	Kelp Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848865	Kelp Gull	English			2005. website, AOU Check-List (07-2005).
6848865	Kelp Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848865	Gaviota dominicana	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848865	Gaviota dominicana	Spanish			2005. website, AOU Check-List (07-2005).
6848865	Gaviota dominicana	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848866	Ivory Gull				Banks, R. C., R. W. McDiarmid, and A. L. Gardner. 1987. Checklist of Vertebrates of the United States, the U.S. Territories, and Canada. Resource Publication, no. 166.
6848868	Lava Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848845	Lesser Black-backed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848845	Lesser Black-backed Gull	English			2005. website, AOU Check-List (07-2005).
6848845	Lesser Black-backed Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848845	Lesser Black-backed Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848845	goéland brun	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848845	goéland brun	French			2005. website, AOU Check-List (07-2005).
6848845	goéland brun	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
